study	Stephan Comments	platform	location	rundate	fhet-th	hwe-th-ca	hwe-th-co	la1000_fifi:	la1000_postqc:	la1000_preqc:	lambda_fifi	lambda_postqc	lambda_preqc	lmiss-th	midi-th	miss-th	ncases_postqc	ncases_preqc	ncontrols_postqc	ncontrols_preqc	ngenotypes_postqc	nidex_fhet	nidex_fhet_cases	nidex_fhet_controls	nidex_miss	nidex_miss_cases	nidex_miss_controls	nidex_miss_hafi_noex	nidex_sexcheck_ex	nidex_sexcheck_undefined_ped	nidex_sexcheck_undefined_snp	nidex_sexcheck_warni	nnopt_postqc	nnopt_preqc	nobs_fifi_maf02:	nobs_postqc_maf02:	nobs_preqc_maf02:	nsnpex_hwe-ca	nsnpex_hwe-co	nsnpex_midi	nsnpex_miss	nsnpex_mono	nsnpex_prefilter	nsnpex_prekno	nsnpex_prekno_autosomes	nsnpin_prekno	nsnps_postqc	nsnps_preqc	p_imiss_caco_fifi	p_imiss_caco_postqc	p_imiss_caco_preqc	withpna
bas_uka1_eur_sr	x	A5.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.158	1.159	1.159	1.224	1.225	1.225	0.02	0.02	0.02	1144	1144	1862	1862	835271208	0	0	0	0	0	0	0	0	0	0	0	0	0	272609	272422	272781	0	2	185	172	0	0	1	1	0	277868	278227	0	0	0	0
bas_uka2_eur_sr	x	A5.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.307	1.304	1.307	1.129	1.128	1.129	0.02	0.02	0.02	368	368	491	491	227471790	0	0	0	0	0	0	0	0	0	0	0	0	0	260824	258574	260905	0	7	2298	83	0	0	5	5	0	264810	267198	0	0	0	0
bas_uka3_eur_sr	x	A5.0	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.307	1.304	1.307	1.129	1.128	1.129	0.02	0.02	0.02	368	368	491	491	227471790	0	0	0	0	0	0	0	0	0	0	0	0	0	260824	258574	260905	0	7	2298	83	0	0	5	5	0	264810	267198	0	0	0	0
bip_ftg2_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/incl_tgen1/preimp/qc	Thu_Dec__3_12:17:48_2015	0.2	-10	-6	1.101	1.101	1.100	1.148	1.148	1.147	0.02	0.02	0.02	1943	1946	1175	1175	1608080438	0	0	0	3	3	0	3	0	0	0	0	0	0	508030	506122	514338	12	5	1946	6290	0	172	0	0	0	515741	524165	1.4e-09	8.4e-09	1.4e-14	0
bip_gain_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/preimp_part2/qc	Mon_Sep_29_08:10:11_2014	0.2	-10	-6	1.024	1.024	1.029	1.024	1.024	1.029	0.02	0.02	0.02	1000	1001	1031	1033	1376587428	0	0	0	3	1	2	8	0	0	0	0	0	0	661854	660463	705300	11	0	1467	39985	0	4816	0	0	0	677788	724067	7.5e-06	1.5e-05	5.2e-07	0
bip_swa2_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave2a/qc/reqc_umea_rom2_swea/qc	Tue_Sep_30_09:26:50_2014	0.2	-10	-6	1.080	1.080	1.080	1.103	1.103	1.103	0.02	0.02	0.02	898	898	2305	2305	1662164820	0	0	0	0	0	0	0	0	0	0	0	0	0	506792	506777	506796	14	3	0	4	0	0	0	0	0	518940	518961	0	0	0	0
bas_usi2_eur_sr	x	I650	/psych/genetics_data/ripke/pgc/cdg/bip_scz/0215a/bip_vs_scz/preimp/qc	Sat_Jun_20_07:52:32_2015	0.2	-10	-6	1.414	1.414	1.414	1.260	1.260	1.260	0.02	0.02	0.02	365	365	2234	2234	695674330	0	0	0	0	0	0	0	0	0	0	0	0	0	265899	265886	265899	0	12	1	0	0	0	0	0	0	267670	267683	0	0	0	0
bip_tgco2_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/TGEN1/qc/qc	Thu_Feb_18_05:33:47_2016	0.2	-10	-6	1.035	1.035	1.035	1.029	1.029	1.029	0.02	0.02	0.02	1049	1049	685	687	977904906	0	0	0	1	0	1	1	1	0	0	0	0	0	550219	548656	572440	0	1	1620	22938	0	40	0	0	0	563959	588558	0.00022	3.9e-05	1.2e-05	0
bip_tgcx3_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/TGEN1/qc/preimp_pcaex.s/qc	Thu_Feb_18_18:42:20_2016	0.2	-10	-6	1.070	1.070	1.069	1.007	1.007	1.007	0.02	0.02	0.02	101	101	100	101	111982527	0	0	0	0	0	0	0	1	0	0	0	0	0	558710	545485	571287	0	0	13560	17314	65	494	0	0	0	557127	588558	0.0086	0.0021	0.017	0
mdd_edi2_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/mdd/preimp_collect_0914/preimp_edin/qc	Fri_Oct__3_11:46:24_2014	0.2	-10	-6	1.083	1.080	1.089	1.027	1.026	1.029	0.02	0.02	0.02	372	373	287	287	344282688	0	0	0	0	0	0	0	1	0	0	0	0	0	514194	512069	514507	0	0	2172	321	0	2	0	0	0	522432	524927	1.8e-12	2.1e-10	2.6e-12	0
bip_bmg2_eur_sr	x	OMEX	/psych/genetics_data/ripke/pgc/bip/boma_w2/preimp/qc	Mon_Jan_19_09:52:20_2015	0.2	-10	-6	1.416	1.416	1.416	1.112	1.112	1.112	0.02	0.02	0.02	181	181	527	527	558924936	0	0	0	0	0	0	0	0	0	0	0	0	0	772203	772203	772219	0	0	0	1	0	15	0	0	0	789442	789458	0	0	0	0
mdd_genr_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/mdd/preimp_collect_0914/qc	Fri_Sep_26_05:43:47_2014	0.2	-10	-6	1.098	1.098	1.098	1.123	1.123	1.123	0.02	0.02	0.02	1020	1020	1636	1636	1702023232	0	0	0	0	0	0	0	0	0	0	0	0	0	626382	625888	631391	17	5	485	5102	0	0	0	0	0	640822	646431	0.14	0.14	0.091	0
mdd_gens_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/mdd/preimp_collect_0914/qc/genred1_stict/qc	Wed_Mar_25_14:32:27_2015	0.2	-10	-6	1.099	1.099	1.100	1.115	1.115	1.116	0.02	0.02	0.02	1020	1020	1345	1345	1514673710	0	0	0	0	0	0	0	0	0	0	0	0	0	626478	625679	631529	17	4	803	5153	0	0	0	0	0	640454	646431	0.13	0.15	0.12	0
mdd_nes1_eur_sr-qc2		A6.0	/psych/genetics_data/ripke/pgc/pgc_upload/NESDA_MDD/qc	Tue_Mar_17_12:04:43_2015	0.2	-10	-6	1.019	1.019	1.019	1.029	1.029	1.029	0.02	0.02	0.02	1494	1494	1603	1603	1751065479	0	0	0	0	0	0	0	0	0	0	0	0	0	493676	493676	493676	0	0	0	0	0	0	0	0	0	565407	565407	0.051	0.051	0.051	0
mdd_nl3p_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/mdd/preimp_reqc_0914/qc	Fri_Oct__3_12:35:02_2014	0.2	-10	-6	0.953	0.953	0.953	0.992	0.992	0.992	0.02	0.02	0.02	103	103	493	493	365725864	0	0	0	0	0	0	0	0	0	0	0	0	0	595571	595571	595571	0	0	0	0	0	0	0	0	0	613634	613634	0.05	0.05	0.05	0
mdd_shp0_eur_sr		A6.0	/psych/genetics_data/ripke/pgc/mdd/preimp_collect_0914/qc	Fri_Sep_26_05:43:47_2014	0.2	-10	-6	1.059	1.059	1.054	1.033	1.033	1.031	0.02	0.02	0.02	373	382	1132	1170	1110739665	4	0	4	47	9	38	457	0	0	1	1	0	0	641480	640614	735548	44	664	348	62257	34604	64573	0	0	0	738033	900475	0.44	0.44	0.87	0
scz_bix2_asn_sr		A6.0	/psych/genetics_data/ripke/pgc/scz/wave3/single_datasets/shi_china/qc/qc/qc	Wed_Oct__8_10:37:30_2014	0.2	-10	-6	1.070	1.070	1.071	1.090	1.090	1.091	0.02	0.02	0.02	959	960	1913	1913	1722935776	0	0	0	1	1	0	1	0	0	10	10	0	0	583449	583447	583449	0	0	2	0	0	0	0	0	0	599908	599910	0.00073	0.00073	0.00071	0
scz_shi1_asn_sr		A6.0	/psych/genetics_data/ripke/pgc/scz/wave3/single_datasets/shi_china/qc	Wed_Oct__8_05:14:58_2014	0.2	-10	-6	1.095	1.089	1.206	1.131	1.123	1.300	0.02	0.02	0.02	992	1065	2290	2317	2231080626	1	1	0	44	25	19	286	74	0	1399	1399	0	0	596463	585324	680448	343	3013	8517	46377	120333	40818	107	106	0	679793	898723	4.3e-09	1e-04	0	0
bip_fat2_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/qc/qc_miss/qc	Mon_Sep_29_16:50:29_2014	0.2	-10	-6	1.145	1.145	1.149	1.131	1.131	1.135	0.005	0.02	0.02	740	740	1165	1165	873396780	0	0	0	0	0	0	0	0	0	0	0	0	0	448936	448936	512585	0	0	0	64960	0	0	0	0	0	458476	523436	4.5e-14	4.5e-14	3.2e-06	0
bip_fatg_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/qc/qc	Mon_Sep_29_15:56:11_2014	0.2	-10	-6	1.149	1.149	1.149	1.135	1.135	1.135	0.02	0.02	0.02	740	740	1165	1165	996739815	0	0	0	0	0	0	0	0	0	0	0	0	0	512585	512377	512585	1	0	212	0	0	0	2	2	0	523223	523436	3.2e-06	3.6e-06	3.2e-06	0
mdd_ger2_eur_sr		AXIO	/psych/genetics_data/ripke/pgc/mdd/single_uploads/gera/eur/preimp_depress_0915a/qc	Wed_Sep__9_10:40:10_2015	0.2	-10	-6	1.007	1.007	1.007	1.084	1.084	1.080	0.02	0.02	0.02	7176	7285	38638	39293	28237962854	4	1	3	756	108	648	1259	4	28	20	48	0	0	596280	577036	624521	3105	19719	0	21611	455	12030	0	0	0	616361	670176	0.13	0.1	0.49	0
bip_ftes_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/qc	Mon_Sep_29_08:28:52_2014	0.2	-10	-6	1.150	1.150	1.155	1.138	1.138	1.143	0.02	0.02	0.02	753	756	1175	1175	1009184608	0	0	0	3	3	0	4	0	0	0	0	0	0	516267	512973	522218	7	6	3367	5345	0	785	2	2	0	523436	532946	2.7e-05	3.4e-06	2.9e-05	0
mdd_gra1_eur_sr		AXIO	/psych/genetics_data/ripke/pgc/mdd/single_uploads/gera/eur/qc	Tue_Nov_11_10:17:21_2014	0.2	-10	-6	1.006	1.006	1.006	1.076	1.075	1.073	0.02	0.02	0.02	7177	7286	39988	40667	29050951595	4	1	3	780	108	672	1295	4	29	21	50	0	0	596298	576635	624535	3105	20176	0	21584	445	12028	0	0	0	615943	670176	0.14	0.11	0.46	0
mdd_qio2_eur_sr		COEX	/psych/genetics_data/ripke/pgc/mdd/single_uploads/qimr_0415/qc	Mon_Apr_13_09:39:27_2015	0.2	1e-10	1e-06	1.022	1.022	1.024	1.012	1.012	1.013	0.02	0.02	0.02	565	565	526	530	264505313	0	0	0	4	0	4	4	0	0	1	1	0	0	239904	239878	239936	0	0	26	37	0	3	0	0	0	242443	242509	0.011	0.013	0.0062	0
bip_gpc1_eur_sr	x	PSYC	/psych/genetics_data/ripke/pgc/bip/rework_0914_additional3/gpc/qc	Sat_Oct_11_17:38:11_2014	0.2	-10	-6	1.044	1.044	1.044	1.032	1.032	1.032	0.02	0.02	0.02	434	439	2196	2209	1122967920	2	1	1	0	0	0	0	17	39	3	42	0	0	283865	283800	286828	1	28	132	3715	137451	0	8	7	0	426984	568310	0.018	0.13	0.28	0
mdd_qiom_eur_sr		COEX	/psych/genetics_data/ripke/pgc/mdd/single_uploads/qimr_0914/preimp/qc	Fri_Sep_19_06:12:57_2014	0.2	-10	-6	1.000	1.000	0.991	1.000	1.000	0.997	0.02	0.02	0.02	375	375	310	313	166016600	0	0	0	3	0	3	3	0	0	0	0	0	0	239878	239643	239954	0	0	238	13	0	0	0	0	0	242360	242611	0.022	0.033	0.011	0
pan_fiho_eur_sa		COEX	/psych/ripke/share/swapnil/angst_cwolf/finish_pop/fin_out/qc	Mon_Feb__6_07:22:51_2017	0.2	-10	-6	0.791	0.783	0.798	0.925	0.922	0.919	0.02	0.02	0.02	341	381	380	423	167601497	23	11	12	40	21	19	566	44	18	93	111	0	0	230766	225815	239758	1904	4750	138	117	6435	10535	0	0	0	232457	254505	0.68	0.61	1.4e-11	0
pan_gom3_eur_sa		COEX	/psych/ripke/share/swapnil/angst_cwolf/german_coex_pop/german_coex2/qc/QC2/qc	Tue_Feb__7_06:33:38_2017	0.2	-10	-6	1.072	1.072	1.074	1.054	1.054	1.056	0.02	0.02	0.02	476	477	1811	1819	499853581	0	0	0	0	0	0	0	9	0	301	301	0	0	215847	215844	215865	0	3	0	0	0	0	0	0	0	218563	218566	0	0	0	0
pan_swd2_eur_sa		COEX	/psych/ripke/share/swapnil/angst_cwolf/swedish_pop/control/swd_out/qc/QC2/qc	Tue_Feb__7_06:58:25_2017	0.2	-10	-6	1.206	1.206	1.206	1.202	1.202	1.202	0.02	0.02	0.02	603	603	2617	2617	690921840	0	0	0	0	0	0	0	0	0	0	0	0	0	211431	211431	211431	0	0	0	0	0	0	2	2	0	214572	214572	0	0	0	0
pan_swdf_eur_sa		COEX	/psych/ripke/share/swapnil/angst_cwolf/swedish_pop/control/swd_out/qc/QC3/qc/QC4/qc	Fri_Feb_10_07:51:45_2017	0.2	-10	-6	1.101	1.100	1.101	1.093	1.092	1.093	0.02	0.02	0.02	561	561	2591	2591	673197856	0	0	0	0	0	0	0	0	0	0	0	0	0	211407	211354	211407	0	3	50	0	0	0	0	0	0	213578	213631	0	0	0	0
scz_braz2_eur_sr		COEX	/psych/ripke/pgc/scz/wave3/single_datasets/EUGEI/preimp_brazil/qc/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.804	1.804	1.804	1.133	1.133	1.133	0.02	0.02	0.02	110	110	334	334	157245264	0	0	0	0	0	0	0	0	0	3	3	0	0	283031	283015	283387	0	3	13	362	2035	0	0	0	0	354156	356569	9.9e-12	1.5e-11	3e-12	0
bip_kfo2_eur_sr	x	PSYC	/psych/genetics_data/ripke/pgc/bip/wave3/KFO_caco/preimp/qc/qc	Tue_Mar_31_05:45:22_2015	0.2	-10	-6	1.249	1.249	1.249	1.067	1.067	1.067	0.02	0.02	0.02	252	252	288	288	174454020	0	0	0	0	0	0	0	0	227	0	227	0	0	280246	279611	280564	49	0	644	354	1524	0	13	11	0	323063	325634	1.7e-07	5.5e-07	1.5e-07	0
bip_kfo3_eur_sr	x	PSYC	/psych/genetics_data/ripke/pgc/bip/wave3/KFO_caco/preimp/qc/qc/qc	Tue_Mar_31_06:10:49_2015	0.2	-10	-6	1.231	1.231	1.231	1.062	1.062	1.062	0.02	0.02	0.02	252	252	288	288	151444620	0	0	0	0	0	0	0	0	227	0	227	0	0	254340	254340	254340	0	0	0	0	0	0	3	3	0	280453	280453	0.0063	0.0063	0.0063	0
bip_kfo3_eur_sr	x	PSYC	/psych/genetics_data/ripke/pgc/bip/wave3/KFO_caco/preimp/qc/qc/qc	Tue_Mar_31_06:36:31_2015	0.2	-10	-6	1.231	1.231	1.231	1.062	1.062	1.062	0.02	0.02	0.02	252	252	288	288	151444620	0	0	0	0	0	0	0	0	227	0	227	0	0	254340	254340	254340	0	0	0	0	0	0	3	3	0	280453	280453	0.0063	0.0063	0.0063	0
bip_kfo4_eur_sr	x	PSYC	/psych/genetics_data/ripke/pgc/bip/wave3/KFO_caco/preimp/qc/qc/qc	Tue_Mar_31_06:10:49_2015	0.2	-10	-6	1.231	1.231	1.231	1.062	1.062	1.062	0.02	0.02	0.02	252	252	288	288	150203700	0	0	0	0	0	0	0	0	227	0	227	0	0	252063	252063	252063	0	0	0	0	0	0	0	0	0	278155	278155	0.0089	0.0089	0.0089	0
scz_eu5me_eur_sa		COEX	/psych/ripke/share/swapnil/EUGEI/qc/merge_QC2/qc	Fri_Jul__7_09:29:46_2017	0.2	-10	-6	1.011	1.011	1.011	1.003	1.003	1.003	0.02	0.02	0.02	182	182	615	615	206768898	0	0	0	0	0	0	0	0	1	1	2	0	0	252026	252005	252026	0	21	0	0	0	0	0	0	0	259434	259455	0	0	0	0
scz_eufr1_eur_sa		COEX	/psych/ripke/share/swapnil/EUGEI/qc	Thu_Jul__6_09:09:13_2017	0.2	-10	-6	15.310	15.310	15.310	1.818	1.818	1.818	0.02	0.02	0.02	39	39	107	107	48949858	0	0	0	0	0	0	0	0	0	1	1	0	0	294824	287076	300642	0	30	9519	4869	218542	3134	0	0	0	335273	570038	0.037	6.9e-07	0.5	0
bip_mgh1_eur_sr	x	PSYC	/psych/genetics_data/ripke/pgc/bip/rework_0914_additional3/merge_mgh/qc	Sat_Oct_11_17:06:36_2014	0.2	-10	-6	3.263	3.263	3.144	3.981	3.981	3.990	0.02	0.02	0.02	1321	1364	1314	1426	1143355485	2	0	2	0	0	0	0	153	680	590	1270	0	0	270148	269934	271701	4	15	285	1935	113319	0	5	3	0	433911	549459	3e-06	2.5e-05	4.5e-05	0
bip_mgh2_eur_sr	x	PSYC	/psych/genetics_data/ripke/pgc/bip/rework_0914_additional3/merge_mgh/qc/qc	Sun_Oct_12_04:56:43_2014	0.2	-10	-6	1.122	1.121	1.121	1.136	1.135	1.136	0.02	0.02	0.02	1025	1030	1216	1226	898251066	0	0	0	0	0	0	0	15	488	339	827	0	0	269445	269344	269474	0	2	114	194	32775	0	10	9	0	400826	433911	0.0015	0.0063	0.0012	0
scz_eune1_eur_sa		COEX	/psych/ripke/share/swapnil/EUGEI/qc	Thu_Jul__6_09:09:13_2017	0.2	-10	-6	6.298	6.298	6.298	1.705	1.705	1.705	0.02	0.02	0.02	101	101	195	195	105762576	0	0	0	0	0	0	0	0	0	0	0	0	0	293078	292082	297016	7	112	1293	3186	204883	3535	0	0	0	357306	570038	0.081	0.081	0.041	0
scz_eune2_eur_sa		COEX	/psych/ripke/share/swapnil/EUGEI/qc/qc2/qc	Fri_Jul__7_07:13:42_2017	0.2	-10	-6	1.086	1.086	1.086	1.007	1.007	1.007	0.02	0.02	0.02	57	57	142	142	63408962	0	0	0	0	0	0	0	0	0	0	0	0	0	283015	282247	283354	0	0	894	389	37432	0	0	0	0	318638	357306	0.83	0.9	0.8	0
scz_euse1_eur_sa		COEX	/psych/ripke/share/swapnil/EUGEI/qc	Thu_Jul__6_09:09:13_2017	0.2	-10	-6	2.023	2.023	2.023	1.040	1.040	1.040	0.02	0.02	0.02	34	34	46	46	23982560	0	0	0	0	0	0	0	0	0	0	0	0	0	287572	280076	289359	1	4	11892	2135	258146	2094	0	0	0	299782	570038	0.6	1	0.87	0
bip_pf1d_eur_sr	x	OMEX	/psych/genetics_data/ripke/pgc/bip/wave2_1213/pfizer.v2/preimp_0314a/qc/pcain_doug/qc	Mon_Sep_29_17:08:47_2014	0.2	-10	-6	1.268	1.257	1.399	1.171	1.164	1.256	0.02	0.02	0.02	453	457	1074	1077	994399197	0	0	0	7	4	3	90	0	0	0	0	0	0	575642	562687	623465	37	412	15273	28771	10895	31575	7	7	0	651211	737722	0	0	9.6e-06	0
scz_eusp2_eur_sr		COEX	/psych/ripke/pgc/scz/wave3/single_datasets/EUGEI/preimp_spain/qc/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.030	1.030	1.032	1.012	1.012	1.013	0.02	0.02	0.02	338	338	490	490	298743228	0	0	0	0	0	0	0	0	17	1	18	0	0	285870	285713	289866	24	110	101	3486	202080	3486	0	0	0	360801	570038	0.7	0.44	0.14	0
bip_rom2_eur_sr	x	OMEX	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave2a/qc	Sun_Sep_28_13:04:46_2014	0.2	-10	-6	1.198	1.180	1.270	1.044	1.040	1.064	0.02	0.02	0.02	239	243	207	231	269536978	6	3	3	28	4	24	32	0	0	2	2	0	0	592674	578357	602567	18	737	14104	4967	45154	3981	2	2	0	604343	673030	3.3e-06	2.5e-05	3.1e-08	0
bip_rom3_eur_sr	x	OMEX	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave2a/qc/reqc_umea_rom2_swea/qc	Tue_Sep_30_09:26:50_2014	0.2	-10	-6	1.195	1.181	1.262	1.043	1.040	1.062	0.02	0.02	0.02	238	243	206	231	260853996	6	3	3	30	5	25	35	0	0	2	2	0	0	593012	578483	601890	19	744	14317	4116	45159	3981	0	0	0	587509	655563	5e-06	6.8e-05	5.2e-08	0
scz_eutu2_eur_sr		COEX	/psych/genetics_data/ripke/pgc/scz/wave3/single_datasets/EUGEI/preimp_turkey/qc/qc	Thu_Jul_21_06:04:28_2016	0.2	-10	-6	1.124	1.124	1.124	1.062	1.062	1.062	0.02	0.02	0.02	393	393	690	690	316723350	0	0	0	0	0	0	0	0	1	17	18	0	0	287416	287265	287522	0	6	147	106	0	0	0	0	0	292450	292709	0	0	0	0
bip_st2b_eur_sr	x	A5.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/step2_RA_MIGEN_MA/qc	Mon_Sep_29_15:22:57_2014	0.2	-10	-6	1.230	1.227	1.239	1.205	1.203	1.215	0.02	0.02	0.02	659	665	1384	1386	615609018	0	0	0	8	6	2	940	0	0	0	0	0	0	300619	298134	313249	0	3	2542	2536	0	11192	0	0	0	301326	317599	1.3e-14	2.6e-06	0	0
scz_eutu2_eur_sr		COEX	/psych/ripke/pgc/scz/wave3/single_datasets/EUGEI/preimp_turkey/qc/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.124	1.124	1.124	1.062	1.062	1.062	0.02	0.02	0.02	393	393	690	690	316723350	0	0	0	0	0	0	0	0	1	17	18	0	0	287416	287265	287522	0	6	147	106	0	0	0	0	0	292450	292709	0	0	0	0
scz_euuk1_eur_sa		COEX	/psych/ripke/share/swapnil/EUGEI/qc	Thu_Jul__6_09:09:13_2017	0.2	-10	-6	11.220	11.083	10.503	1.825	1.814	1.780	0.02	0.02	0.02	49	50	229	229	97643608	0	0	0	0	0	0	0	1	1	0	1	0	0	294297	288621	299750	1	922	7832	5401	202429	4440	0	0	0	351236	570038	0.55	3.4e-11	0.48	0
bip_stp2_eur_sr	x	A5.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave1/preimp_part2/qc	Mon_Sep_29_08:10:11_2014	0.2	-10	-6	1.358	1.348	1.336	1.106	1.103	1.100	0.02	0.02	0.02	659	665	191	192	265283300	0	0	0	7	6	1	7	0	0	0	0	1	1	327830	306695	337437	0	0	21426	8587	0	1143	0	0	0	312098	343254	0	1.1e-16	0	0
scz_euuk2_eur_sa		COEX	/psych/ripke/share/swapnil/EUGEI/qc/qc3/qc	Fri_Jul__7_07:25:52_2017	0.2	-10	-6	1.144	1.144	1.144	1.007	1.007	1.007	0.02	0.02	0.02	28	28	181	181	65794454	0	0	0	0	0	0	0	0	1	0	1	0	0	277331	276500	277357	0	0	1025	32	35438	0	0	0	0	314806	351236	2e-14	0	3e-14	0
bip_swea_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave2a/qc	Sun_Sep_28_13:04:46_2014	0.2	-10	-6	1.082	1.082	1.082	1.106	1.106	1.106	0.02	0.02	0.02	898	898	2305	2305	1999075578	0	0	0	0	0	0	0	0	0	0	0	0	0	609918	609903	609922	14	3	0	4	0	0	0	0	0	624126	624147	0	0	0	0
scz_gro2_eur_sr		COEX	/psych/ripke/pgc/scz/wave3/single_datasets/Dublin_GROUP_caco/qc/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.063	1.063	1.052	1.019	1.019	1.016	0.02	0.02	0.02	329	335	277	286	193091598	0	0	0	0	0	0	0	15	0	56	56	0	0	267431	267256	268108	0	0	196	455	23825	0	0	0	0	318633	343105	0.4	0.33	0.4	0
bip_tgco1_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/TGEN1/qc	Thu_Feb_18_04:51:13_2016	0.2	-10	-6	2.876	2.872	2.884	4.055	4.049	4.072	0.02	0.02	0.02	1199	1199	2537	2547	2097823776	0	0	0	4	0	4	4	6	0	0	0	0	0	556911	550361	576680	2	31	6767	20152	0	91	42	42	0	561516	588558	0	9.3e-14	4.1e-08	0
scz_grtr_eur_sr		COEX	/psych/ripke/pgc/scz/wave3/single_datasets/GROUP_trio/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.024	1.024	1.033	1.005	1.005	1.007	0.02	0.02	0.02	154	157	303	314	140756457	3	0	0	0	0	0	0	11	0	73	73	0	0	269355	269303	271203	2	3	0	1631	228889	148	0	0	0	308001	538724	1	1	1	0
bip_tgcx1_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/TGEN1/qc/preimp_pcaex/qc	Thu_Feb_18_06:37:38_2016	0.2	-10	-6	1.819	1.765	1.913	1.122	1.114	1.137	0.02	0.02	0.02	150	150	148	150	157797556	0	0	0	1	0	1	1	1	0	0	0	0	0	540917	519196	577385	0	1	22128	35744	2	1162	0	0	0	529522	588558	0.15	0.07	0.016	0
bip_tgcx2_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/wave2_fast_tgen/TGEN1/qc/preimp_pcaex.s/qc	Thu_Feb_18_18:42:20_2016	0.2	-10	-6	1.290	1.290	1.281	1.037	1.037	1.036	0.02	0.02	0.02	128	128	127	128	140513160	0	0	0	0	0	0	0	1	0	0	0	0	0	554565	535860	572357	0	0	19211	17665	24	626	0	0	0	551032	588558	0.0013	0.0033	0.0044	0
add_dobi1_mix_dc		GSAA	/psych/genetics_data/projects/pgc/qc/dobi1/qc_dir/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.697	1.694	1.853	1.254	1.253	1.320	0.02	0.02	0.02	679	693	249	257	543788512	7	3	4	6	3	3	8	14	35	6	41	0	0	440169	439007	459790	280	370	794	7239	79989	11595	0	0	0	585979	686111	0.18	0.29	1.1e-05	0
bip_top7_eur_sr	x	A6.0	/psych/genetics_data/ripke/pgc/bip/rework_0914/wave2a/qc	Sun_Sep_28_13:04:46_2014	0.2	-10	-6	1.133	1.131	1.263	1.056	1.055	1.128	0.02	0.02	0.02	473	592	378	412	568218657	11	9	2	110	92	18	364	67	2	1	3	0	0	612920	601748	736357	80	121	13331	61476	52096	112500	0	0	0	667707	906598	2.4e-13	9e-11	0	0
bip_top8_eur_sr	x	OMEX	/psych/genetics_data/ripke/pgc/bip/wave2_top/qc	Mon_Feb__9_10:04:07_2015	0.2	-10	-6	1.087	1.083	1.104	1.021	1.020	1.025	0.02	0.02	0.02	192	192	321	322	342196137	0	0	0	0	0	0	0	1	246	0	246	0	0	617409	615527	627839	305	890	933	6271	36026	5203	0	0	0	667049	716503	0.29	0.17	0.0019	0
add_jobe1_mix_dc		GSAA	/psych/genetics_data/projects/pgc/qc/jobe1/qc_dir_round2/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.054	1.054	1.054	1.034	1.034	1.034	0.02	0.02	0.02	494	494	863	863	720533075	0	0	0	0	0	0	0	0	0	1	1	0	0	420680	420634	420768	0	50	0	136	3484	0	63	0	0	530975	534645	1	1	1	0
add_sheu1_mix_dc		GSAA	/psych/genetics_data/projects/pgc/qc/sheu1/qc_dir/qc	Mon_Nov__5_09:03:42_2018	0.2	-10	-6	1.069	1.064	1.179	1.029	1.027	1.078	0.02	0.02	0.02	287	300	777	804	705707576	38	0	0	0	0	0	0	5	0	1	1	1	1	345100	341758	356936	937	1509	0	7525	0	11325	176	0	0	663259	686111	1	1	1	1
